,datetime,link,lanes,limit,length,bump,camera,CONV,KINDER,TRAVEL,SCHOOL,BROKER,label
228,2020-01-07 20:15,1210018402,3,1,193.6406,0,1,1,0,1,0,1,1
229,2020-01-07 20:40,1130004301,3,3,388.747,0,0,1,0,1,0,0,1
230,2020-01-07 21:05,1130054600,0,2,326.1832,0,0,1,0,1,0,0,1
231,2020-01-08 0:10,1010010601,2,0,371.9267,1,1,1,0,1,0,1,1
232,2020-01-08 0:45,1230041900,3,1,308.2318,0,0,0,0,0,0,0,1
233,2020-01-08 3:30,1110008001,0,1,826.316,1,1,1,1,1,1,1,1
234,2020-01-08 7:05,1070041700,3,1,420.6846,0,0,0,1,1,0,1,1
235,2020-01-08 7:15,1240041400,2,2,366.4106,1,0,1,0,0,0,0,1
235,2020-01-08 7:15,1240041400,2,2,366.4106,1,0,1,0,0,0,0,1
239,2020-01-08 9:00,1060001102,1,1,102.0047,0,0,0,0,0,0,0,1
239,2020-01-08 9:00,1060001102,1,1,102.0047,0,0,0,0,0,0,0,1
241,2020-01-08 9:10,1060001102,1,1,102.0047,0,0,0,0,0,0,0,1
242,2020-01-08 9:25,1220024601,3,5,336.0354,0,0,1,1,1,0,1,1
243,2020-01-08 9:40,1140015700,0,1,253.7158,0,0,1,0,1,0,0,1
245,2020-01-08 10:05,1050022100,2,2,221.774,0,0,0,0,0,0,0,1
245,2020-01-08 10:05,1050022100,2,2,221.774,0,0,0,0,0,0,0,1
247,2020-01-08 10:20,1070000400,1,4,2412.8263,1,1,1,1,1,1,1,1
248,2020-01-08 10:30,1010013800,4,1,235.6296,0,0,0,0,1,0,1,1
250,2020-01-08 12:30,1000032800,0,1,233.8357,1,0,1,1,1,0,1,1
251,2020-01-08 13:25,1160003900,1,1,326.9703,0,0,1,0,1,0,1,1
252,2020-01-08 13:45,1190000200,4,3,2980.6295,0,0,1,1,1,1,1,1
253,2020-01-08 14:00,1180090700,2,8,130.6519,0,1,0,0,0,0,0,1
253,2020-01-08 14:00,1180090700,2,8,130.6519,0,1,0,0,0,0,0,1
255,2020-01-08 14:10,1030026700,2,2,844.2584,0,0,0,0,0,0,0,1
256,2020-01-08 15:00,1030001901,3,3,248.5224,0,0,0,0,0,0,0,1
257,2020-01-08 15:25,1010052400,0,1,121.5256,0,0,0,0,1,0,0,1
264,2020-01-08 17:45,1070014700,0,1,292.6634,0,0,0,0,0,0,0,1
265,2020-01-08 18:05,1210004802,3,3,1563.2767,0,0,1,1,1,0,1,1
266,2020-01-08 18:15,1140039700,3,1,236.2266,0,0,0,1,0,0,0,1
269,2020-01-08 19:00,1030000304,4,3,913.1489,0,0,1,1,1,0,1,1
270,2020-01-08 19:10,1130045600,2,0,317.6045,0,0,1,1,0,0,0,1
271,2020-01-08 19:25,1210025502,4,1,158.3521,0,0,1,0,1,0,1,1
272,2020-01-08 19:30,1030012101,1,5,51.4479,0,0,0,0,0,0,0,1
273,2020-01-08 19:35,1030008003,1,1,538.355,0,0,0,0,0,0,0,1
