,datetime,link,lanes,limit,length,bump,camera,CONV,KINDER,TRAVEL,SCHOOL,BROKER,label
141,2020-01-04 17:05,1240007901,1,0,68.5616,1,0,0,0,0,0,1,0
144,2020-01-04 18:20,1180090102,1,0,229.6497,0,0,1,1,1,0,1,0
146,2020-01-04 19:00,1010023400,4,1,161.7698,0,0,1,0,0,0,1,0
147,2020-01-04 19:55,1040002002,3,1,308.7229,1,0,0,1,0,0,0,0
148,2020-01-04 20:30,1030032000,1,3,682.5144,0,0,1,1,1,0,0,0
150,2020-01-05 9:15,1150000602,2,1,56.1298,0,0,0,0,0,0,1,0
151,2020-01-05 9:40,1170022000,0,0,203.1629,1,0,1,0,1,0,1,0
152,2020-01-05 9:45,1190005101,3,1,222.9959,0,0,0,0,1,0,0,0
153,2020-01-05 10:10,1150008102,3,1,80.0004,0,0,1,0,0,0,1,0
154,2020-01-05 10:15,1100012303,0,1,147.2194,0,0,0,0,0,0,0,0
155,2020-01-05 10:25,1090011800,1,3,719.0802,0,0,1,1,1,0,1,0
156,2020-01-05 10:50,1060018602,1,3,236.7091,0,0,0,1,1,0,1,0
158,2020-01-05 11:20,1200017000,3,2,64.5169,0,0,0,0,0,0,0,0
159,2020-01-05 11:30,1130005103,3,1,248.4521,0,0,0,0,0,0,0,0
161,2020-01-05 11:55,1240004002,1,1,337.3167,0,0,0,0,0,0,0,0
163,2020-01-05 13:55,1200021400,0,3,381.6014,1,0,1,1,0,0,1,0
164,2020-01-05 14:00,1060009903,1,1,142.5557,0,0,0,0,0,0,1,0
165,2020-01-05 14:10,1220103000,0,3,293.3617,1,0,0,0,0,0,0,0
165,2020-01-05 14:10,1220103000,0,3,293.3617,1,0,0,0,0,0,0,0
167,2020-01-05 14:30,1180050200,0,3,154.0939,0,0,0,0,0,0,0,0
168,2020-01-05 14:35,1020023200,3,1,960.7219,0,0,0,0,0,0,0,0
169,2020-01-05 14:45,1100025401,3,1,236.4426,0,1,0,0,0,1,0,0
170,2020-01-05 15:00,1220035804,3,1,150.2479,0,1,1,0,1,0,1,0
172,2020-01-05 15:35,1240020200,1,1,429.6811,0,0,1,0,1,0,1,0
173,2020-01-05 15:40,1150019001,0,3,271.6582,1,0,1,0,1,0,1,0
176,2020-01-05 16:40,1090027300,0,3,158.545,0,0,0,1,0,0,0,0
178,2020-01-05 16:45,1220016001,3,2,52.6561,0,0,0,0,0,0,0,0
180,2020-01-05 17:40,1000009300,0,3,91.308,0,0,0,0,0,0,0,0
181,2020-01-05 18:15,1100010001,0,0,81.3418,0,0,0,0,0,0,0,0
181,2020-01-05 18:15,1100010001,0,0,81.3418,0,0,0,0,0,0,0,0
183,2020-01-05 18:25,1190039800,2,1,42.4864,0,0,0,0,0,0,0,0
183,2020-01-05 18:25,1190039800,2,1,42.4864,0,0,0,0,0,0,0,0
185,2020-01-05 20:40,1230007101,1,1,301.0835,1,0,1,1,0,0,0,0
187,2020-01-07 7:35,1210066000,0,3,613.5073,0,1,1,1,1,0,0,0
189,2020-01-07 8:20,1180059000,0,3,294.4528,1,0,1,1,1,0,1,0
190,2020-01-07 8:40,1240040700,2,1,607.0033,0,0,0,0,1,0,0,0
192,2020-01-07 8:55,1240034000,0,3,464.6276,1,0,1,1,1,0,1,0
199,2020-01-07 10:40,1170003600,1,1,353.0537,1,0,1,0,1,0,1,0
200,2020-01-07 10:45,1230018503,3,2,141.933,0,0,0,0,0,0,1,0
201,2020-01-07 11:05,1230055400,0,0,287.9962,1,0,1,1,0,0,0,0
202,2020-01-07 11:10,1030018701,0,0,407.5535,0,0,1,0,1,0,1,0
203,2020-01-07 11:25,1040000201,2,5,1827.6531,1,0,1,1,1,1,1,0
